Year,HGWT,GWT_45,GWT_60,GWT_85,HSAT,SAT_45,SAT_60,SAT_85,HP,P_45,P_60,P_85
2010,4.991376069,,,,2.777777778,,,,743.5490897,,,
2020,5.557777204,5.557777204,5.557777204,5.557777204,2.833333333,2.833333333,2.833333333,2.833333333,754.7501143,754.7501143,754.7501143,754.7501143
2030,,5.157875576,5.116599754,5.184429936,,3.342033882,3.309887604,3.544135004,,745.3783432,752.058064,752.8066683
2040,,5.263715408,5.201314958,5.352173295,,3.773355075,3.709134358,3.995735343,,726.5426977,730.9100212,735.2608422
2050,,5.372318394,5.206770709,5.444879403,,4.114166667,4.027777778,4.559166667,,702.8333333,697.3666667,714.5
2060,,5.465943446,5.339361169,5.753017083,,4.390555556,4.488888889,5.073888889,,715.9333333,704.9333333,725.8666667
2070,,5.660714833,5.536581356,6.073016599,,4.6525,4.882222222,5.722777778,,725.7333333,716.3333333,743.7
2080,,5.724086958,5.649734574,6.50001461,,4.955277778,5.345555556,6.246666667,,731.1333333,730.9,760.5
2090,,5.870025806,5.922200564,6.851060606,,5.218611111,5.69,6.838333333,,740.5666667,740.4666667,777.3333333
2100,,5.995631404,6.153114296,7.077933072,,5.489722222,5.902777778,7.34,,747.1,751.2666667,799.2
