Year,HGWT,GWT_45,GWT_60,GWT_85,HSAT,SAT_45,SAT_60,SAT_85,HP,P_45,P_60,P_85
1970,4.666570119,,,,2.611111111,,,,594.0379747,,,
1980,4.50556456,,,,2.555555556,,,,604.494892,,,
1990,4.468107807,,,,2.944444444,,,,644.0280943,,,
2000,4.552541708,,,,3.333333333,,,,645.0873869,,,
2010,4.732210824,,,,3.722222222,,,,616.3695379,,,
2020,5.026299645,5.026299645,5.026299645,5.026299645,4.055555556,4.055555556,4.055555556,4.055555556,599.662177,599.662177,599.662177,599.662177
2030,,5.055979289,5.026603375,5.080372583,,4.026697531,3.994753086,4.221697531,,661.2642667,668.9976,670.2976
2040,,5.130509979,5.07506698,5.215842366,,4.17058642,4.110030864,4.382530864,,725.576,731.5093333,736.0426667
2050,,5.149910732,4.987091922,5.217301077,,4.051666667,3.969444444,4.488333333,,774.2,769.7333333,788.1333333
2060,,5.240067998,5.112197151,5.423899643,,4.328055556,4.4275,5,,789.2333333,778.5333333,800.7
2070,,5.435520408,5.312119054,5.85356609,,4.588333333,4.816388889,5.640277778,,799.8,790.8666667,820.6
2080,,5.514898196,5.44124716,6.197799952,,4.885277778,5.2725,6.151388889,,805.4666667,806.9,838.4666667
2090,,5.65806104,5.6380398,6.614003295,,5.141666667,5.612777778,6.733055556,,815.5,816.8666667,856.4333333
2100,,5.777468541,5.853534646,6.870060576,,5.409722222,5.816944444,7.229722222,,822.9333333,827.9,880.4333333
