Year,HGWT,GWT_45,GWT_60,GWT_85,HSAT,SAT_45,SAT_60,SAT_85,HP,P_45,P_60,P_85
1980,5.719116321,,,,0.5987962963,,,,494.2332,,,
1990,5.621210436,,,,0.9675925926,,,,482.092,,,
2000,5.828511653,,,,1.277777778,,,,478.2058,,,
2010,6.537555099,,,,2.282407407,,,,461.8397333,,,
2020,6.88788187,6.88788187,6.88788187,6.88788187,2.148009791,2.148009791,2.148009791,2.148009791,456.6073333,456.6073333,456.6073333,456.6073333
2030,,7.056138503,7.002132009,7.047693178,,2.579074074,2.555185185,2.793518519,,472.7925333,475.7925333,474.5925333
2040,,6.982269163,6.900245375,7.072494464,,2.903734568,2.836234568,3.140401235,,510.3976,509.8309333,515.2309333
2050,,6.84461755,6.644181845,6.987028107,,3.206666667,3.103888889,3.676111111,,528.9,521.5666667,536.4333333
2060,,7.022995058,6.870860769,7.347954388,,3.503888889,3.574444444,4.219722222,,537.3666667,524.4666667,544.2
2070,,7.223669594,7.079693759,7.651907784,,3.772777778,3.988611111,4.908055556,,546.5333333,534.8,556.6666667
2080,,7.376766763,7.317141341,8.062432139,,4.096388889,4.488333333,5.467777778,,552.8,544.2333333,573.0666667
2090,,7.509724639,7.556184969,8.458723601,,4.380277778,4.864722222,6.105277778,,559.2666667,553.3666667,588.2
2100,,7.608658469,7.770564885,8.779630079,,4.662222222,5.1,6.638611111,,563.8666667,565.7,604.9333333
